dep,week,pop,P,cl_age90
4,2020-S27,19525,0,49
4,2020-S27,23898,0,59
4,2020-S27,24485,0,69
4,2020-S27,18808,0,79
4,2020-S27,10427,0,89
4,2020-S27,2959,0,90
4,2020-S27,165197,0,0
4,2020-S28,16220,0,9
4,2020-S28,18061,0,19
4,2020-S28,13269,0,29
4,2020-S28,17545,0,39
4,2020-S28,19525,0,49
4,2020-S28,23898,0,59
4,2020-S28,24485,0,69
4,2020-S28,18808,0,79
4,2020-S28,10427,0,89
4,2020-S28,2959,0,90
4,2020-S28,165197,0,0
4,2020-S29,16220,1,9
4,2020-S29,18061,0,19
4,2020-S29,13269,0,29
4,2020-S29,17545,0,39
4,2020-S29,19525,1,49
4,2020-S29,23898,0,59
4,2020-S29,24485,0,69
4,2020-S29,18808,1,79
4,2020-S29,10427,0,89
4,2020-S29,2959,0,90
4,2020-S29,165197,3,0
4,2020-S30,16220,0,9
4,2020-S30,18061,0,19
4,2020-S30,13269,0,29
4,2020-S30,17545,2,39
4,2020-S30,19525,1,49
4,2020-S30,23898,0,59
4,2020-S30,24485,0,69
4,2020-S30,18808,0,79
4,2020-S30,10427,0,89
4,2020-S30,2959,1,90
4,2020-S30,165197,4,0
4,2020-S31,16220,0,9
4,2020-S31,18061,2,19
4,2020-S31,13269,3,29
4,2020-S31,17545,2,39
4,2020-S31,19525,2,49
4,2020-S31,23898,2,59
4,2020-S31,24485,1,69
4,2020-S31,18808,0,79
4,2020-S31,10427,0,89
4,2020-S31,2959,0,90
4,2020-S31,165197,12,0
4,2020-S32,16220,0,9
4,2020-S32,18061,6,19
4,2020-S32,13269,1,29
4,2020-S32,17545,3,39
4,2020-S32,19525,3,49
4,2020-S32,23898,5,59
4,2020-S32,24485,1,69
4,2020-S32,18808,1,79
4,2020-S32,10427,0,89
4,2020-S32,2959,0,90
4,2020-S32,165197,20,0
4,2020-S33,16220,0,9
4,2020-S33,18061,3,19
4,2020-S33,13269,7,29
4,2020-S33,17545,5,39
4,2020-S33,19525,7,49
4,2020-S33,23898,8,59
4,2020-S33,24485,11,69
4,2020-S33,18808,3,79
4,2020-S33,10427,3,89
4,2020-S33,2959,0,90
4,2020-S33,165197,47,0
4,2020-S34,16220,3,9
4,2020-S34,18061,6,19
4,2020-S34,13269,7,29
4,2020-S34,17545,8,39
4,2020-S34,19525,9,49
4,2020-S34,23898,5,59
4,2020-S34,24485,6,69
4,2020-S34,18808,7,79
4,2020-S34,10427,2,89
4,2020-S34,2959,1,90
4,2020-S34,165197,54,0
4,2020-S35,16220,4,9
4,2020-S35,18061,9,19
4,2020-S35,13269,26,29
4,2020-S35,17545,9,39
4,2020-S35,19525,16,49
4,2020-S35,23898,10,59
4,2020-S35,24485,7,69
4,2020-S35,18808,4,79
4,2020-S35,10427,4,89
4,2020-S35,2959,3,90
4,2020-S35,165197,92,0
4,2020-S36,16220,0,9
4,2020-S36,18061,9,19
4,2020-S36,13269,11,29
4,2020-S36,17545,14,39
4,2020-S36,19525,7,49
4,2020-S36,23898,10,59
4,2020-S36,24485,10,69
4,2020-S36,18808,3,79
4,2020-S36,10427,3,89
4,2020-S36,2959,3,90
4,2020-S36,165197,70,0
4,2020-S37,16220,3,9
4,2020-S37,18061,13,19
4,2020-S37,13269,19,29
4,2020-S37,17545,10,39
4,2020-S37,19525,14,49
4,2020-S37,23898,9,59
4,2020-S37,24485,6,69
4,2020-S37,18808,6,79
4,2020-S37,10427,3,89
4,2020-S37,2959,1,90
4,2020-S37,165197,84,0
4,2020-S38,16220,8,9
4,2020-S38,18061,6,19
4,2020-S38,13269,9,29
4,2020-S38,17545,11,39
4,2020-S38,19525,18,49
4,2020-S38,23898,14,59
4,2020-S38,24485,13,69
4,2020-S38,18808,11,79
4,2020-S38,10427,7,89
4,2020-S38,2959,0,90
4,2020-S38,165197,97,0
4,2020-S39,16220,0,9
4,2020-S39,18061,19,19
4,2020-S39,13269,19,29
4,2020-S39,17545,12,39
4,2020-S39,19525,15,49
4,2020-S39,23898,19,59
4,2020-S39,24485,14,69
4,2020-S39,18808,6,79
4,2020-S39,10427,11,89
4,2020-S39,2959,11,90
4,2020-S39,165197,126,0
4,2020-S40,16220,0,9
4,2020-S40,18061,11,19
4,2020-S40,13269,18,29
4,2020-S40,17545,13,39
4,2020-S40,19525,20,49
4,2020-S40,23898,13,59
4,2020-S40,24485,8,69
4,2020-S40,18808,2,79
4,2020-S40,10427,2,89
4,2020-S40,2959,7,90
4,2020-S40,165197,94,0
5,2020-S21,14582,0,9
5,2020-S21,15698,0,19
5,2020-S21,11715,0,29
5,2020-S21,16000,1,39
5,2020-S21,17800,3,49
5,2020-S21,20029,1,59
5,2020-S21,20216,2,69
5,2020-S21,14617,1,79
5,2020-S21,8430,1,89
5,2020-S21,2669,0,90
5,2020-S21,141756,9,0
5,2020-S22,14582,0,9
5,2020-S22,15698,0,19
5,2020-S22,11715,0,29
5,2020-S22,16000,0,39
5,2020-S22,17800,1,49
5,2020-S22,20029,0,59
5,2020-S22,20216,0,69
5,2020-S22,14617,0,79
5,2020-S22,8430,0,89
5,2020-S22,2669,1,90
5,2020-S22,141756,2,0
5,2020-S23,14582,0,9
5,2020-S23,15698,0,19
5,2020-S23,11715,0,29
5,2020-S23,16000,0,39
5,2020-S23,17800,0,49
5,2020-S23,20029,0,59
5,2020-S23,20216,0,69
5,2020-S23,14617,0,79
5,2020-S23,8430,1,89
5,2020-S23,2669,1,90
5,2020-S23,141756,2,0
5,2020-S24,14582,0,9
5,2020-S24,15698,0,19
5,2020-S24,11715,0,29
5,2020-S24,16000,0,39
5,2020-S24,17800,0,49
5,2020-S24,20029,0,59
5,2020-S24,20216,1,69
5,2020-S24,14617,0,79
5,2020-S24,8430,0,89
5,2020-S24,2669,0,90
5,2020-S24,141756,1,0
5,2020-S25,14582,0,9
5,2020-S25,15698,0,19
